CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
SORBS1,SORBS1,4.02374E-05,19,1.928613752,96.7246359,1.180475053,16.56942221,92.37054085,79.05166313,19.7737069,Yes,7.847958345,0.784305057
POP1,POP1,2.47182E-05,15,1.930136995,96.73078105,-0.689683416,83.51835597,30.75949367,5.537862703,60.77586207,Yes,7.37796798,0.561894226
SHISA6,SHISA6,7.11964E-05,27,1.930303232,96.7369262,0.443458208,32.60701193,12.26121979,81.88841708,29.63362069,Yes,8.632658394,0.607435523
ZNF611,ZNF611,3.62941E-05,18,1.932586008,96.74307135,-0.218726585,59.93700625,68.90678941,87.72705827,96.66487069,Yes,2.901648393,0.522356508
PTER,PTER,3.62647E-05,18,1.934252242,96.74921649,1.17485063,16.66236381,32.15765247,67.19155461,54.00323276,Yes,7.116704227,0.768106881
CT45A1,CT45A1,9.15454E-06,11,1.934259343,96.75536164,-0.442664592,72.31889296,47.57767549,-,97.74784483,No,2.871761419,0.362815249
ETV6,ETV6,5.17277E-05,22,1.935972876,96.76150679,0.343389756,35.37460629,16.96777906,17.16206653,8.545258621,Yes,8.207435124,0.401638638
PPP1R17,PPP1R17,2.45835E-05,15,1.93777149,96.76765194,-0.050290611,50.8803635,85.18411968,51.65723048,46.49784483,Yes,7.773959433,0.649910537
OR51E2,OR51E2,2.45817E-05,15,1.937873511,96.77379709,0.231934175,39.0561264,31.86996548,63.35810333,60.17241379,Yes,4.930559109,0.669603175
TMEM196,TMEM196,4.78153E-05,21,1.93817912,96.77994224,1.020278158,19.5280632,46.89298044,58.26256192,2.473060345,Yes,7.657843418,0.641790924
CLDN23,CLDN23,2.06886E-05,14,1.939020665,96.78608738,-0.402540749,70.2225435,56.570771,-,69.18103448,No,7.689050347,0.568717448
CLCNKB,CLCNKB,9.02258E-06,11,1.941739375,96.79223253,-0.544820522,77.38421025,99.00460299,85.30313753,70.90517241,Yes,5.459899866,0.442379032
ADAM28,ADAM28,5.54142E-05,23,1.94657388,96.79837768,-0.343874735,66.88180926,98.78596087,86.8542109,68.95474138,Yes,4.538016566,0.514032193
FAM120B,FAM120B,2.83011E-05,16,1.946576099,96.80452283,-0.736318175,85.20163164,90.59263521,92.80490682,81.63793103,Yes,3.934235132,0.581378788
ORAI2,ORAI2,0.000152278,48,1.946778952,96.81066798,-0.347690818,67.06252904,29.21749137,32.93819297,14.41810345,Yes,3.749250764,0.581058243
BDKRB2,BDKRB2,4.37443E-05,20,1.949378751,96.81681313,-1.058812055,94.15500594,52.72727273,76.35645199,70.74892241,Yes,4.473834711,0.503910355
NAV3,NAV3,4.99935E-06,10,1.95028313,96.82295827,2.338593593,4.776165643,1.565017261,1.645435244,16.69719828,Yes,8.628868519,0.590833333
TMEM229B,TMEM229B,4.3648E-05,20,1.95483642,96.82910342,0.449251079,32.42112872,37.31875719,64.11299835,20.01077586,Yes,9.316915136,0.573164872
ITGB2,ITGB2,1.65295E-05,13,1.955249954,96.83524857,-0.881881789,90.00877782,22.21518987,7.861523944,75.67887931,Yes,3.568716038,0.593796193
ZNF266,ZNF266,3.58839E-05,18,1.955834036,96.84139372,-0.708718134,84.19476429,54.56846951,29.42911064,98.93857759,Yes,3.978899789,0.255192705
NOV,NOV,2.42422E-05,15,1.957115733,96.84753887,0.864022946,22.4660505,77.18642117,63.00424628,49.7737069,Yes,9.904934278,0.548984652
ORAOV1,ORAOV1,4.35509E-05,20,1.960339439,96.85368402,-0.895856423,90.41152476,73.716916,59.76055674,71.13146552,Yes,4.578521068,0.4204329
RPA1,RPA1,3.57767E-05,18,1.961909616,96.85982916,1.146342696,17.17870605,32.10586881,6.782259967,25.83512931,Yes,10.2146919,0.518756856
FPR3,FPR3,2.02198E-05,14,1.965592063,96.86597431,-0.080548456,52.37775598,30.94361335,34.31823543,92.34913793,Yes,3.203961936,0.47752784
LRPAP1,LRPAP1,0.000109261,37,1.96880545,96.87211946,-0.211063694,59.5084422,-,82.82613824,79.1487069,No,3.872496257,0.565093692
PI15,PI15,6.6606E-05,26,1.970909014,96.87826461,0.201582334,40.212733,37.52013809,69.20853975,17.74784483,Yes,7.608601785,0.567684569
ERAP2,ERAP2,3.554E-05,18,1.975324685,96.88440976,-0.192970943,58.46026747,74.35558113,75.69591885,77.5700431,Yes,5.309859952,0.46958616
CARHSP1,CARHSP1,3.5497E-05,18,1.977761735,96.89055491,-0.718225949,84.59751123,90.31070196,12.77423921,37.56465517,Yes,5.367849953,0.470680128
ZNF600,ZNF600,2.76905E-05,16,1.981183273,96.89670006,-0.282094583,63.36551867,97.49712313,94.29700401,97.92025862,Yes,2.836615775,0.263548922
FOPNL,FOPNL,2.75948E-05,16,1.986607342,96.9028452,0.205522416,39.97521557,73.10701956,48.11866006,55.27478448,Yes,6.651052104,0.558632265
RCCD1,RCCD1,2.36982E-05,15,1.98794899,96.90899035,-0.624754644,80.97795219,-,-,83.44827586,No,4.198172228,0.449883653
RHOJ,RHOJ,3.52479E-05,18,1.991879671,96.9151355,0.66742174,26.7000568,39.17721519,39.95046001,27.38685345,Yes,7.813385463,0.605125732
WDR52,WDR52,6.23355E-05,25,1.99338999,96.92128065,-0.38692985,69.38090566,99.47640967,98.54328851,61.28771552,Yes,6.006002834,0.673398825
COX10,COX10,2.74479E-05,16,1.994933341,96.9274258,-1.013675384,93.23075334,90.89182969,86.7539514,68.61530172,Yes,5.3368241,0.504599888
PILRB,PILRB,5.06631E-05,22,1.99630698,96.93357095,-0.015843512,49.00087778,42.62945915,43.29440906,96.79956897,Yes,4.281593867,0.373017884
NUP50,NUP50,6.22766E-05,25,1.996728041,96.93971609,-0.603650841,80.04853617,22.95742232,13.32861524,78.37823276,Yes,7.307502458,0.600157635
DENND5B,DENND5B,6.22381E-05,25,1.99890996,96.94586124,0.324464329,35.91676563,23.95281933,24.59896202,48.28125,Yes,6.935760256,0.602882363
PAQR8,PAQR8,4.27951E-05,20,2.003173811,96.95200639,0.226399409,39.22135591,25.19562716,17.74593064,30.46336207,Yes,7.091624989,0.658017576
NAA40,NAA40,3.49901E-05,18,2.006490772,96.95815154,0.005450451,47.95786647,66.32911392,23.25430526,13.55603448,Yes,7.922148936,0.618301001
MPP7,MPP7,4.27027E-05,20,2.008410554,96.96429669,-0.022148261,49.35715392,45.75949367,11.88369899,18.6637931,Yes,7.009233287,0.723830096
PRKCB,PRKCB,6.59318E-05,26,2.009118153,96.97044184,0.419508445,33.17498838,8.929804373,12.23755603,11.46012931,Yes,8.212653082,0.615947653
EDEM1,EDEM1,4.65514E-05,21,2.009808808,96.97658698,-0.146313332,55.98182475,20.75373993,9.170794999,39.17564655,Yes,7.342167119,0.64028746
MAPT,MAPT,5.81644E-05,24,2.01024275,96.98273213,0.282592528,37.35219704,97.53164557,98.08917197,62.37607759,Yes,7.914384133,0.658823155
CCR6,CCR6,3.87964E-05,19,2.010281893,96.98887728,-1.314473354,97.407962,26.76064442,48.34866714,88.32435345,Yes,3.988450781,0.614497372
ERVFRD-1,ERVFRD-1,2.32901E-05,15,2.011079898,96.99502243,0.116749485,43.07326896,48.4579977,38.81811748,92.14978448,Yes,4.982365809,0.323619424
ZNF7,ZNF7,1.55388E-05,13,2.011404825,97.00116758,-0.593774656,79.59931843,62.37629459,7.802547771,84.49353448,Yes,7.369374924,0.404250239
EN2,EN2,2.71075E-05,16,2.014226656,97.00731273,0.866353184,22.41441628,-,-,59.50431034,No,7.232490969,0.679992421
DIEXF,DIEXF,8.13332E-05,30,2.014490881,97.01345788,-0.167551101,57.1022874,78.38895282,91.07100731,35.48491379,Yes,6.031399367,0.278285314
SPATA13,SPATA13,6.57987E-05,26,2.016661408,97.01960302,-1.047686282,93.88650798,84.57422325,97.67044114,77.89331897,Yes,5.567206049,0.433058304
C1orf229,C1orf229,3.08866E-05,17,2.019549165,97.02574817,0.033073134,46.65152063,-,-,94.26724138,No,4.375219553,0.541519553
TTC5,TTC5,4.25052E-05,20,2.019603842,97.03189332,0.178430105,40.98208292,58.49252014,65.9648502,29.85452586,Yes,5.293632811,0.394781199
MTUS1,MTUS1,3.47551E-05,18,2.019809734,97.03803847,0.227492906,39.18004854,96.39240506,97.87096013,76.41702586,Yes,8.432317907,0.684718477
ZNF697,ZNF697,4.63494E-05,21,2.021257024,97.04418362,0.533745936,30.22151082,-,-,57.13362069,No,7.289071709,0.658721638
C1orf158,C1orf158,4.24277E-05,20,2.023996157,97.05032877,-0.393292477,69.72169154,83.69965478,93.13517339,81.00215517,Yes,4.428377713,0.582484672
FREM1,FREM1,4.24236E-05,20,2.024228525,97.05647391,0.58591534,28.8067331,98.86651323,17.03821656,39.11637931,Yes,8.031716508,0.670063617
CST1,CST1,7.53249E-06,11,2.026205955,97.06261906,-0.587730138,79.40310838,90.87456847,76.95800896,95.19935345,Yes,2.112622414,0.378517241
UMODL1,UMODL1,1.9085E-05,14,2.029913527,97.06876421,-0.612316384,80.44095627,99.40161105,99.65204058,90.3125,Yes,4.618789774,0.563684669
FGFR1OP,FGFR1OP,3.06759E-05,17,2.031491166,97.07490936,-0.42197829,71.36365983,92.93440736,91.58410002,59.78987069,Yes,6.657584733,0.630949606
CDH11,CDH11,5.00096E-05,22,2.033343368,97.08105451,1.490730453,12.46450147,82.88262371,59.10592121,9.154094828,Yes,8.411624788,0.66571655
CRHR1,CRHR1,1.50681E-05,13,2.038085631,97.08719966,-0.34588658,66.95409718,71.72612198,46.91554612,24.95150862,Yes,8.276069466,0.691679389
CGB7,CGB7,6.14926E-05,25,2.041160087,97.0933448,-0.439986739,72.1898074,40.54660529,-,88.78232759,No,5.403516592,0.471646424
CHD5,CHD5,5.74926E-05,24,2.048316137,97.09948995,-0.467777754,73.60974854,17.77330265,0.489502241,40.44181034,Yes,7.540400795,0.622480542
RBM18,RBM18,6.12852E-05,25,2.052914262,97.1056351,0.682360771,26.28698301,49.81012658,41.24793583,4.202586207,Yes,6.268663797,0.438752428
TMPRSS13,TMPRSS13,7.05944E-06,11,2.053021914,97.11178025,0.711328049,25.57959416,61.22554661,84.64260439,70.15086207,Yes,9.707336721,0.628109756
HLA-DQB2,HLA-DQB2,6.99922E-06,11,2.056435658,97.1179254,-0.401660679,70.18639955,80.47180667,-,85.29094828,No,4.338587225,0.53705314
C2CD4C,C2CD4C,3.0217E-05,17,2.057500805,97.12407055,-0.615893193,80.61651262,-,-,77.27909483,No,6.456877607,0.62897549
WDR11,WDR11,1.85704E-05,14,2.059082202,97.13021569,-0.623073487,80.88501059,2.871116226,9.754659118,27.34913793,Yes,7.498882323,0.562409823
HNF4G,HNF4G,3.40123E-05,18,2.06190948,97.13636084,0.652320186,27.04084267,77.18066743,51.91672564,27.03663793,Yes,7.098601754,0.604802695
STEAP3,STEAP3,3.78411E-05,19,2.064424589,97.14250599,-0.441946765,72.28274901,30.73072497,45.64755839,56.63793103,Yes,7.818543341,0.585526583
NDUFA11,NDUFA11,3.78308E-05,19,2.06500836,97.14865114,-0.513708364,75.92812516,79.36133487,-,91.98814655,No,4.181295335,0.255292621
FRG1,FRG1,1.45921E-05,13,2.065067248,97.15479629,-1.308779742,97.3614912,69.30955121,35.42108988,52.24137931,Yes,6.94772744,0.4146593
TMEM220,TMEM220,4.16929E-05,20,2.065641337,97.16094144,-0.439442614,72.17431714,73.67663982,72.009908,62.26293103,Yes,5.220198211,0.460369467
CYYR1,CYYR1,3.78116E-05,19,2.066096554,97.16708659,0.005615709,47.94753963,70.52359033,86.08162302,59.91918103,Yes,8.516343049,0.591887578
PPP1R14C,PPP1R14C,1.84448E-05,14,2.066201557,97.17323173,0.969731846,20.33355708,-,56.2514744,51.40086207,No,6.721228421,0.644389474
SPCS3,SPCS3,4.55342E-05,21,2.067458409,97.17937688,0.558304752,29.53993907,54.25776755,54.62962963,9.859913793,Yes,6.669600374,0.552997192
CCT5,CCT5,2.99303E-05,17,2.073750607,97.18552203,-0.776746476,86.69902411,42.79056387,25.56027365,42.32219828,Yes,5.8972463,0.539856502
COL5A2,COL5A2,2.99174E-05,17,2.074481766,97.19166718,2.027961844,7.011927506,74.86191024,10.59212078,21.54633621,Yes,6.880894125,0.746018553
MDGA1,MDGA1,8.79773E-05,32,2.077093944,97.19781233,0.243963507,38.69468684,8.774453395,6.564048125,22.4137931,Yes,7.391816038,0.634826226
MUC4,MUC4,1.8223E-05,14,2.07877386,97.20395748,-0.317984655,65.38958021,-,99.8643548,-,No,6.330391525,0.635666965
PHAX,PHAX,4.5313E-05,21,2.079995031,97.21010262,0.075621765,44.80817886,60.88607595,34.70747818,33.50215517,Yes,4.999634418,0.514269931
WFS1,WFS1,1.42981E-05,13,2.081732564,97.21624777,-0.828972861,88.38746321,65.12082854,45.68884171,53.90625,Yes,5.982728222,0.574173554
PAQR3,PAQR3,9.17046E-05,33,2.085435972,97.22239292,0.667543598,26.69489338,32.58342923,30.37272942,13.48599138,Yes,6.01030135,0.566562535
NLRP8,NLRP8,1.4122E-05,13,2.091714821,97.22853807,-0.432066031,71.81287758,99.38434983,97.25171031,98.59375,Yes,2.921173927,0.544869313
CRLF3,CRLF3,1.78795E-05,14,2.098244656,97.23468322,0.306051765,36.52604947,61.04718067,23.25430526,26.81034483,Yes,7.553564212,0.472161153
RNFT2,RNFT2,3.72191E-05,19,2.099677776,97.24082837,-0.21559041,59.77177673,13.07249712,12.23755603,40.56573276,Yes,4.943391813,0.511437523
FRMD4A,FRMD4A,5.26961E-05,23,2.100618864,97.24697351,1.501802338,12.29410854,6.001150748,3.172918141,21.25538793,Yes,11.17174254,0.535354738
CLEC4D,CLEC4D,1.77683E-05,14,2.104547909,97.25311866,-0.200722399,58.91981205,70.81127733,74.37485256,87.85021552,Yes,6.055219904,0.630782269
ZNF443,ZNF443,1.37728E-05,13,2.111509445,97.25926381,-0.24297009,61.39309134,98.97008055,96.42604388,96.70258621,Yes,4.652343038,0.47106383
HS1BP3,HS1BP3,1.75958E-05,14,2.114325929,97.26540896,-0.645275882,81.77828265,85.95512083,85.72776598,73.41594828,Yes,6.679451403,0.493576896
WNT9A,WNT9A,4.07893E-05,20,2.116854267,97.27155411,-0.256260404,62.15727784,20.27617952,12.88039632,45.63577586,Yes,7.333457518,0.638117987
LAMC1,LAMC1,3.30354E-05,18,2.117278501,97.27769926,1.080393556,18.39211029,90.04602992,0.943618778,38.17887931,Yes,11.1086234,0.611639939
LIG4,LIG4,1.7528E-05,14,2.118169131,97.2838444,-0.383150776,69.1588785,77.33601841,27.05237084,56.05064655,Yes,5.177980574,0.611480781
IGSF5,IGSF5,1.36418E-05,13,2.11893532,97.28998955,-0.023702359,49.41976078,96.67433832,96.40835103,91.85344828,Yes,4.897877757,0.576433824
LDOC1L,LDOC1L,6.39423E-05,26,2.121871692,97.2961347,-0.938004775,91.54231425,29.66052934,41.24793583,78.27047414,Yes,6.763799376,0.600201342
TSPAN18,TSPAN18,4.84283E-05,22,2.122963692,97.30227985,-0.460189113,73.30510662,64.13118527,55.44939844,35.02693966,Yes,7.426347371,0.55715662
C10orf67,C10orf67,2.9062E-05,17,2.122965526,97.308425,0.011634532,47.64289771,46.2543153,56.64071715,90.50646552,Yes,3.641972524,0.474455167
SNED1,SNED1,5.2204E-05,23,2.128508825,97.31457015,-1.210208811,96.3907678,23.06674338,4.364236848,64.80603448,Yes,5.650230916,0.406599665
LRRC56,LRRC56,2.89633E-05,17,2.128559877,97.3207153,-0.494725303,74.95740177,93.85500575,98.4725171,84.27262931,Yes,4.990650313,0.586880973
SKP1,SKP1,0.000102507,36,2.132007545,97.32686044,0.207993729,39.87194713,52.9689298,57.99716914,3.232758621,Yes,5.143658463,0.303563916
LRP2BP,LRP2BP,5.21378E-05,23,2.132260756,97.33300559,-0.067822514,51.74781845,31.05868815,17.03231894,50.80280172,Yes,5.282281334,0.417891718
ZNF280A,ZNF280A,9.42856E-06,12,2.138246327,97.33915074,-0.742119791,85.47529302,98.56731876,94.60368011,92.69396552,Yes,7.038420479,0.425272989
SLC37A2,SLC37A2,1.71583E-05,14,2.13912549,97.34529589,-0.588864057,79.44957918,66.16800921,57.47817882,52.04202586,Yes,8.139113087,0.525982596
ZNF510,ZNF510,5.19702E-05,23,2.141759624,97.35144104,-0.415180018,70.98156658,97.61219793,90.77022883,87.64008621,Yes,4.824015573,0.546944444
ZNF793,ZNF793,6.74559E-05,27,2.142293077,97.35758619,0.061685748,45.46909692,87.35327963,71.49681529,73.71767241,Yes,4.709557957,0.534287955
RAB3IP,RAB3IP,9.84491E-05,35,2.142386752,97.36373133,-0.016705367,49.06800227,25.42577675,22.35786742,10.12931034,Yes,5.167764567,0.468527361
MCFD2,MCFD2,4.42037E-05,21,2.142866057,97.36987648,0.38705842,34.08375071,52.23820483,41.24793583,47.97952586,Yes,6.592158904,0.437690362
ZNF107,ZNF107,4.41656E-05,21,2.145025451,97.37602163,-0.081073609,52.42422678,41.97928654,64.85020052,93.26508621,Yes,4.967413992,0.453343899
PKDREJ,PKDREJ,1.31743E-05,13,2.145436314,97.38216678,-1.071084808,94.34088914,94.01035673,18.21774003,97.75323276,Yes,4.909769814,0.572727273
MIS12,MIS12,2.86567E-05,17,2.14593817,97.38831193,-0.225363954,60.36040688,47.65247411,44.89266336,36.91271552,Yes,4.984226129,0.489109312
ABCC4,ABCC4,2.09084E-05,15,2.14607878,97.39445708,-0.125951192,54.81489131,12.91139241,67.72234017,46.34159483,Yes,6.497725732,0.644517815
FAM114A1,FAM114A1,3.23008E-05,18,2.158915279,97.40060222,-0.108537007,53.84933134,90.43728423,74.66383581,56.27693966,Yes,6.113353815,0.592993408
VANGL1,VANGL1,8.26158E-05,31,2.161379516,97.40674737,-0.283218496,63.42231631,40.96662831,36.22906346,35.73275862,Yes,7.711956126,0.684832595
FLCN,FLCN,3.59851E-05,19,2.169618942,97.41289252,-0.901382417,90.56642743,20.0863061,39.17197452,50.57112069,Yes,5.24829602,0.406659719
GH1,GH1,4.98606E-06,11,2.170561468,97.41903767,0.1783636,40.98724635,67.12313003,72.59966973,79.01939655,Yes,4.133715612,0.698
HTR5A,HTR5A,3.20628E-05,18,2.172405177,97.42518282,-0.806280719,87.65425724,43.91254315,23.42533616,55.71659483,Yes,7.338254319,0.662955854
TLL1,TLL1,4.36719E-05,21,2.173007057,97.43132797,1.219108716,16.06857025,37.01956272,9.719273414,24.94612069,Yes,4.395425699,0.630603272
PRPH2,PRPH2,2.81704E-05,17,2.173502279,97.43747311,0.014322744,47.524139,86.49597238,78.58575136,34.25107759,Yes,9.421193055,0.612703075
ART5,ART5,1.65337E-05,14,2.174531347,97.44361826,-0.230692457,60.65988537,79.8561565,98.05378627,42.10668103,Yes,7.266175439,0.444290618
TSPAN11,TSPAN11,6.68479E-05,27,2.176751966,97.44976341,-0.666696674,82.58893995,63.53279632,43.77211607,70.57112069,Yes,4.392120933,0.703297189
TNNI1,TNNI1,6.68152E-05,27,2.178605273,97.45590856,-0.525854405,76.55806268,39.09090909,68.98443029,31.72413793,Yes,5.893168466,0.676573454
WDR36,WDR36,5.12693E-05,23,2.181484046,97.46205371,-0.280107351,63.22610626,70.59263521,55.85633404,27.61314655,Yes,5.105902959,0.590470933
SPATA3,SPATA3,1.63998E-05,14,2.182121647,97.46819886,-0.016937982,49.08865596,89.83314154,87.40268931,91.30387931,Yes,5.160714916,0.46542446
JAKMIP3,JAKMIP3,7.0603E-05,28,2.183492009,97.47434401,-0.722147731,84.72659679,28.14729574,2.418023119,55.5387931,Yes,5.636765814,0.648925678
NRP1,NRP1,4.34725E-05,21,2.184308608,97.48048915,2.217684206,5.659110859,64.49367089,22.75300778,23.34590517,Yes,7.367542312,0.626596715
MRPS10,MRPS10,2.40528E-05,16,2.187370035,97.4866343,-0.551132089,77.73015955,70.79976985,51.65723048,46.69719828,Yes,6.876342857,0.595285714
MGAT5,MGAT5,7.43843E-05,29,2.188752768,97.49277945,-0.095886237,53.15226932,9.884925201,5.237084218,11.44935345,Yes,8.385701584,0.656337228
FAM90A1,FAM90A1,2.39977E-05,16,2.190493294,97.4989246,-0.043940941,50.51376052,98.41772152,97.6232602,97.22521552,Yes,2.809070137,0.552001972
MOBP,MOBP,3.56082E-05,19,2.190981466,97.50506975,-0.158602656,56.60143543,34.45914845,56.2514744,71.65409483,Yes,7.506536545,0.601456998
WDR31,WDR31,5.49402E-05,24,2.192974032,97.5112149,-0.039622907,50.30206021,79.42462601,65.75843359,39.15409483,Yes,5.752280182,0.435827393
CHRNE,CHRNE,1.61858E-05,14,2.19425259,97.51736004,0.219538391,39.44338307,24.7698504,10.03184713,59.06788793,Yes,7.84906344,0.543789992
B3GAT1,B3GAT1,7.0262E-05,28,2.202818697,97.52350519,-0.576895991,78.96421748,36.66858458,38.57631517,28.80926724,Yes,5.414253984,0.380391243
WWOX,WWOX,2.76001E-05,17,2.205828093,97.52965034,-0.760429461,86.14653793,98.49252014,91.92026421,41.30387931,Yes,9.161536076,0.560620364
BTN3A2,BTN3A2,2.75633E-05,17,2.207914013,97.53579549,-0.315286714,65.20369701,97.01380898,87.49115357,98.54525862,Yes,3.992858036,0.584958022
PGM2L1,PGM2L1,7.40251E-05,29,2.209111119,97.54194064,0.695179382,25.9823411,83.49827388,80.20169851,13.20043103,Yes,6.158786322,0.67156123
FAM26E,FAM26E,0.000101118,36,2.210740591,97.54808579,-0.162744423,56.83895286,66.01265823,73.41354093,50.93211207,Yes,4.236707436,0.470621978
NRIP3,NRIP3,3.52186E-05,19,2.213064037,97.55423093,0.737292372,24.94965663,42.74453395,64.31941496,10.15625,Yes,8.680619105,0.765458096
C22orf29,C22orf29,8.55339E-05,32,2.215581926,97.56037608,-0.802179187,87.50451799,60.40851554,76.30927105,94.99461207,Yes,6.411308794,0.429508139
AKR1C2,AKR1C2,3.12746E-05,18,2.217081159,97.56652123,-0.634609999,81.37037228,64.14269275,46.7386176,90.98599138,Yes,1.404132329,0.59234275
MRPL17,MRPL17,2.33559E-05,16,2.22687313,97.57266638,-0.052615169,51.03526617,39.87341772,59.76055674,44.22952586,Yes,7.95238767,0.467581506
CCL11,CCL11,1.16614E-05,13,2.231200302,97.57881153,-0.940173975,91.59911189,76.19677791,72.009908,87.75323276,Yes,6.007652118,0.658874879
C16orf79,BRICD5,2.32177E-05,16,2.23470696,97.58495668,-0.634055761,81.34971859,80.36248562,89.82661005,80.10237069,No,3.831580842,0.438858696
SEMA3E,SEMA3E,5.41486E-05,24,2.23783954,97.59110183,-0.119724561,54.43279806,24.98273878,12.48525596,34.58512931,Yes,6.45291056,0.657118798
THBS2,THBS2,3.47679E-05,19,2.238610043,97.59724697,-0.408004131,70.55300253,12.58342923,23.04788865,67.57543103,Yes,8.445819806,0.545071052
SDK1,SDK1,5.79894E-05,25,2.23970553,97.60339212,-0.598537933,79.81101874,13.52704258,0.076669026,58.60991379,Yes,5.615756061,0.579170207
O3FAR1,FFAR4,3.85636E-05,20,2.243003875,97.60953727,-0.315990909,65.25533123,69.00460299,34.59542345,48.92780172,No,4.844496203,0.663009042
TCF19,TCF19,3.85217E-05,20,2.245378775,97.61568242,-0.177576445,57.65993701,91.9159954,87.8744987,50.45258621,Yes,8.851871631,0.456616314
GLT25D2,COLGALT2,4.23864E-05,21,2.245867272,97.62182757,0.006555558,47.92172252,17.13463751,16.62538335,32.32219828,Yes,7.042358931,0.589175607
VENTX,VENTX,4.23031E-05,21,2.250588668,97.62797272,-0.357317582,67.68213972,97.08285386,-,95.94288793,No,4.32679902,0.717836134
CYP4A22,CYP4A22,1.51905E-05,14,2.250673923,97.63411786,-0.156852703,56.53431094,99.29804373,99.35126209,90.23706897,Yes,3.22909282,0.364357084
TIFAB,TIFAB,6.54277E-05,27,2.257244178,97.64026301,-0.568205844,78.56147054,71.24280783,37.11370606,80.65732759,Yes,5.050204086,0.63190151
MLC1,MLC1,4.99224E-05,23,2.257822957,97.64640816,-1.144460298,95.5336397,72.50287687,53.85114414,71.85344828,Yes,4.554279475,0.68502008
ACTG2,ACTG2,1.49947E-05,14,2.261773606,97.65255331,0.987298092,20.0134249,27.01956272,28.6329323,24.6174569,Yes,8.904920837,0.498119891
FAM20B,FAM20B,5.37052E-05,24,2.262970427,97.65869846,0.160836459,41.508752,25.50632911,45.12856806,7.618534483,Yes,8.139531467,0.508137194
GIPC3,GIPC3,4.20809E-05,21,2.263182881,97.66484361,-0.966350986,92.17225177,33.10126582,43.29440906,58.4375,Yes,6.020405913,0.672344865
TMEM128,TMEM128,2.65676E-05,17,2.264353731,97.67098875,-0.694492787,83.70423917,55.09205984,59.76055674,72.88793103,Yes,7.081397559,0.435477419
C10orf126,C10orf126,2.26798E-05,16,2.265197993,97.6771339,-0.137155725,55.49129963,49.20023015,-,93.0387931,No,5.856856787,0.544324176
RNF168,RNF168,4.97719E-05,23,2.266353054,97.68327905,-0.251970844,61.91976042,68.429229,77.25878745,76.28232759,Yes,6.509232482,0.505439773
IFITM2,IFITM2,7.03983E-06,12,2.273665946,97.6894242,-1.229319596,96.59730469,90.83429229,72.22811984,94.38577586,Yes,4.380992754,0.376541502
HAS2,HAS2,3.02748E-05,18,2.273752241,97.69556935,2.261875282,5.354468942,19.41887227,35.42108988,2.753232759,Yes,8.779269641,0.584695934
CARKD,CARKD,3.02744E-05,18,2.273774914,97.7017145,-1.124157074,95.21867094,91.10471807,86.7539514,83.0387931,Yes,4.055039439,0.378881499
MICA,MICA,1.08514E-05,13,2.277119779,97.70785964,-0.434222247,71.9109826,99.81588032,99.56357632,98.75538793,Yes,4.977604002,0.382970297
CHL1,CHL1,5.73214E-05,25,2.277566126,97.71400479,0.390887527,34.00113595,87.26697353,41.92026421,62.14978448,Yes,7.919093223,0.625596102
METRN,METRN,3.40485E-05,19,2.279386798,97.72014994,-0.691203582,83.5958073,-,-,84.74676724,No,4.723455064,0.386147267
WDR5,WDR5,3.40365E-05,19,2.280066984,97.72629509,-0.847882317,88.88831518,26.39240506,35.42108988,53.73383621,Yes,6.643529543,0.625543664
TMEM33,TMEM33,8.43941E-05,32,2.280184943,97.73244024,0.779473084,24.0408943,41.32336018,31.45789101,8.108836207,Yes,5.52427396,0.645992268
GREB1,GREB1,3.77706E-05,20,2.287951705,97.73858539,-0.230495361,60.62890484,98.67088608,48.93253126,55.48491379,Yes,5.647706481,0.673925575
RAP1GAP2,RAP1GAP2,6.87182E-05,28,2.290317076,97.74473054,-0.096948348,53.20390355,14.74683544,6.505071951,20.43103448,Yes,7.625677627,0.724101579
CYBRD1,CYBRD1,4.54596E-05,22,2.291223031,97.75087568,0.528622314,30.36608664,64.14844649,84.93158764,59.05172414,Yes,7.555922368,0.58097468
SIK2,SIK2,8.80021E-05,33,2.295292546,97.75702083,0.250566204,38.51396706,6.139240506,25.79028073,30.57112069,Yes,8.209163119,0.485691578
PYROXD1,PYROXD1,2.21251E-05,16,2.296641873,97.76316598,-0.409686351,70.65110755,20.94936709,20.70063694,38.25969828,Yes,5.400192783,0.624928037
C1GALT1,C1GALT1,5.69743E-05,25,2.297239092,97.76931113,1.046672713,18.9962307,65.287687,60.09082331,28.6799569,Yes,4.691710183,0.554761549
TMEM245,TMEM245,6.08404E-05,26,2.297676669,97.77545628,0.29288616,37.01657459,11.68009206,20.78320359,21.08297414,Yes,7.253789772,0.527373792
PLRG1,PLRG1,2.59625E-05,17,2.298653702,97.78160143,-0.179169103,57.73738834,20.1150748,33.20358575,10.84051724,Yes,7.279643762,0.541232943
