Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Feature type class
17	55700588	55700877	DNase1	Open Chromatin
17	55706711	55707193	DNase1	Open Chromatin
17	55740101	55740756	DNase1	Open Chromatin
17	55860667	55860941	DNase1	Open Chromatin
17	55909679	55910073	DNase1	Open Chromatin
17	55910369	55911092	DNase1	Open Chromatin
17	55927233	55928005	DNase1	Open Chromatin
17	55938189	55938779	DNase1	Open Chromatin
17	55945266	55945968	DNase1	Open Chromatin
17	55969805	55970901	DNase1	Open Chromatin
17	55977232	55977621	DNase1	Open Chromatin
17	55980486	55981074	DNase1	Open Chromatin
17	55982746	55983146	DNase1	Open Chromatin
17	56017123	56017611	DNase1	Open Chromatin
17	56024052	56024795	DNase1	Open Chromatin
17	56025871	56026556	DNase1	Open Chromatin
17	56027081	56027436	DNase1	Open Chromatin
17	56064372	56066299	DNase1	Open Chromatin
17	56072737	56073125	DNase1	Open Chromatin
17	56076826	56077179	DNase1	Open Chromatin
17	56084201	56085253	DNase1	Open Chromatin
17	5610172	5610503	DNase1	Open Chromatin
17	56160402	56161116	DNase1	Open Chromatin
17	56161188	56161618	DNase1	Open Chromatin
17	5618802	5619191	DNase1	Open Chromatin
17	56190376	56190824	DNase1	Open Chromatin
17	56296396	56297286	DNase1	Open Chromatin
17	56309897	56310689	DNase1	Open Chromatin
17	56310902	56311266	DNase1	Open Chromatin
17	56326802	56327345	DNase1	Open Chromatin
17	56355999	56356828	DNase1	Open Chromatin
17	56381697	56382050	DNase1	Open Chromatin
17	56385734	56386107	DNase1	Open Chromatin
17	56394722	56395220	DNase1	Open Chromatin
17	56404934	56408012	DNase1	Open Chromatin
17	56408033	56409317	DNase1	Open Chromatin
17	56409348	56410288	DNase1	Open Chromatin
17	56413217	56413602	DNase1	Open Chromatin
17	56414820	56416756	DNase1	Open Chromatin
17	56421495	56422211	DNase1	Open Chromatin
17	56429319	56430043	DNase1	Open Chromatin
17	56430057	56430781	DNase1	Open Chromatin
17	56453990	56454427	DNase1	Open Chromatin
17	56494833	56495275	DNase1	Open Chromatin
17	56524907	56525183	DNase1	Open Chromatin
17	56582326	56582781	DNase1	Open Chromatin
17	56584462	56584922	DNase1	Open Chromatin
17	56591815	56592171	DNase1	Open Chromatin
17	56594735	56596386	DNase1	Open Chromatin
17	56611893	56612746	DNase1	Open Chromatin
17	56708488	56709753	DNase1	Open Chromatin
17	56735885	56737099	DNase1	Open Chromatin
17	56744092	56744757	DNase1	Open Chromatin
17	56769709	56770263	DNase1	Open Chromatin
17	57022190	57022695	DNase1	Open Chromatin
17	57074313	57074971	DNase1	Open Chromatin
17	57078757	57079199	DNase1	Open Chromatin
17	57183706	57184621	DNase1	Open Chromatin
17	57232151	57233325	DNase1	Open Chromatin
17	57244871	57245268	DNase1	Open Chromatin
17	57287096	57287616	DNase1	Open Chromatin
17	57297610	57298128	DNase1	Open Chromatin
17	57354368	57354862	DNase1	Open Chromatin
17	57364822	57365288	DNase1	Open Chromatin
17	57378280	57378697	DNase1	Open Chromatin
17	57388395	57388845	DNase1	Open Chromatin
17	57406938	57407525	DNase1	Open Chromatin
17	57408733	57409188	DNase1	Open Chromatin
17	57443268	57443705	DNase1	Open Chromatin
17	57450505	57451679	DNase1	Open Chromatin
17	57512536	57513089	DNase1	Open Chromatin
17	57515059	57515746	DNase1	Open Chromatin
17	57518085	57518475	DNase1	Open Chromatin
17	57591508	57591915	DNase1	Open Chromatin
17	57592369	57593715	DNase1	Open Chromatin
17	57598848	57599173	DNase1	Open Chromatin
17	57611073	57611417	DNase1	Open Chromatin
17	57642668	57643305	DNase1	Open Chromatin
17	57696355	57697622	DNase1	Open Chromatin
17	57733948	57734411	DNase1	Open Chromatin
17	57784401	57785427	DNase1	Open Chromatin
17	57803071	57803462	DNase1	Open Chromatin
17	57806753	57807295	DNase1	Open Chromatin
17	57830593	57831130	DNase1	Open Chromatin
17	57846439	57846774	DNase1	Open Chromatin
17	57863658	57864535	DNase1	Open Chromatin
17	57868220	57868776	DNase1	Open Chromatin
17	57882177	57882880	DNase1	Open Chromatin
17	57893388	57893768	DNase1	Open Chromatin
17	57906306	57907126	DNase1	Open Chromatin
17	57914461	57915560	DNase1	Open Chromatin
17	57919893	57920878	DNase1	Open Chromatin
17	57926117	57926467	DNase1	Open Chromatin
17	57969922	57971008	DNase1	Open Chromatin
17	58041548	58042691	DNase1	Open Chromatin
17	58155197	58155889	DNase1	Open Chromatin
17	58159896	58160246	DNase1	Open Chromatin
17	58164162	58164542	DNase1	Open Chromatin
17	58172099	58172525	DNase1	Open Chromatin
17	58179932	58180546	DNase1	Open Chromatin
17	58212846	58213314	DNase1	Open Chromatin
17	58217170	58217511	DNase1	Open Chromatin
17	58220245	58220559	DNase1	Open Chromatin
17	58239398	58239928	DNase1	Open Chromatin
17	58247860	58248219	DNase1	Open Chromatin
17	58382447	58382913	DNase1	Open Chromatin
17	58467496	58467957	DNase1	Open Chromatin
17	58469034	58470167	DNase1	Open Chromatin
17	58471498	58471803	DNase1	Open Chromatin
17	58472913	58473426	DNase1	Open Chromatin
17	58475387	58476273	DNase1	Open Chromatin
17	58498566	58499262	DNase1	Open Chromatin
17	58513280	58513600	DNase1	Open Chromatin
17	58602933	58603831	DNase1	Open Chromatin
17	58647175	58647524	DNase1	Open Chromatin
17	58654475	58654885	DNase1	Open Chromatin
17	58675704	58676120	DNase1	Open Chromatin
17	58677158	58677978	DNase1	Open Chromatin
17	58754539	58755413	DNase1	Open Chromatin
17	591327	591742	DNase1	Open Chromatin
17	59216556	59217001	DNase1	Open Chromatin
17	59295777	59296337	DNase1	Open Chromatin
17	59322395	59322764	DNase1	Open Chromatin
17	59328192	59328710	DNase1	Open Chromatin
17	59329390	59330210	DNase1	Open Chromatin
17	59488165	59488518	DNase1	Open Chromatin
17	59489449	59490139	DNase1	Open Chromatin
17	59494120	59494549	DNase1	Open Chromatin
17	59893863	59894294	DNase1	Open Chromatin
17	59914593	59914907	DNase1	Open Chromatin
17	59940732	59941210	DNase1	Open Chromatin
17	60004710	60005599	DNase1	Open Chromatin
17	60142950	60143672	DNase1	Open Chromatin
17	60247698	60248137	DNase1	Open Chromatin
17	60248461	60249269	DNase1	Open Chromatin
17	60250052	60250503	DNase1	Open Chromatin
17	60500989	60501488	DNase1	Open Chromatin
17	60529552	60530003	DNase1	Open Chromatin
17	60548131	60548471	DNase1	Open Chromatin
17	60555744	60556563	DNase1	Open Chromatin
17	60689029	60689630	DNase1	Open Chromatin
17	60959598	60960103	DNase1	Open Chromatin
17	60960179	60960711	DNase1	Open Chromatin
17	60970140	60970773	DNase1	Open Chromatin
17	60972746	60973769	DNase1	Open Chromatin
17	60976590	60977108	DNase1	Open Chromatin
17	61043018	61043947	DNase1	Open Chromatin
17	61045799	61046192	DNase1	Open Chromatin
17	61072668	61073313	DNase1	Open Chromatin
17	61217596	61218085	DNase1	Open Chromatin
17	61268933	61269421	DNase1	Open Chromatin
17	61299294	61299713	DNase1	Open Chromatin
17	61352681	61353128	DNase1	Open Chromatin
17	61357155	61357501	DNase1	Open Chromatin
17	61484094	61484472	DNase1	Open Chromatin
17	61502800	61503163	DNase1	Open Chromatin
17	61512227	61512983	DNase1	Open Chromatin
17	61517013	61517372	DNase1	Open Chromatin
17	61522939	61524934	DNase1	Open Chromatin
17	61538076	61538529	DNase1	Open Chromatin
17	61556219	61556592	DNase1	Open Chromatin
17	61627142	61628206	DNase1	Open Chromatin
17	61677995	61678456	DNase1	Open Chromatin
17	61689643	61689967	DNase1	Open Chromatin
17	61699093	61699961	DNase1	Open Chromatin
17	61699973	61700348	DNase1	Open Chromatin
17	61718854	61719677	DNase1	Open Chromatin
17	61723553	61724237	DNase1	Open Chromatin
17	61727168	61727458	DNase1	Open Chromatin
17	61731870	61732252	DNase1	Open Chromatin
17	61742808	61743488	DNase1	Open Chromatin
17	61775158	61775627	DNase1	Open Chromatin
17	61776414	61777350	DNase1	Open Chromatin
17	61778870	61779939	DNase1	Open Chromatin
17	617844	618396	DNase1	Open Chromatin
17	61818463	61820033	DNase1	Open Chromatin
17	61820046	61820390	DNase1	Open Chromatin
17	61850527	61851945	DNase1	Open Chromatin
17	61904202	61905244	DNase1	Open Chromatin
17	61912193	61912631	DNase1	Open Chromatin
17	61919895	61920795	DNase1	Open Chromatin
17	61920825	61921259	DNase1	Open Chromatin
17	61926101	61926824	DNase1	Open Chromatin
17	61943458	61943854	DNase1	Open Chromatin
17	61966346	61966739	DNase1	Open Chromatin
17	61981165	61981532	DNase1	Open Chromatin
17	61996615	61996935	DNase1	Open Chromatin
17	62008571	62009024	DNase1	Open Chromatin
17	62038742	62039595	DNase1	Open Chromatin
17	62062376	62062832	DNase1	Open Chromatin
17	62079106	62079478	DNase1	Open Chromatin
17	62086836	62087271	DNase1	Open Chromatin
17	62097374	62098657	DNase1	Open Chromatin
17	62102962	62103517	DNase1	Open Chromatin
17	62106289	62106569	DNase1	Open Chromatin
17	62138535	62139128	DNase1	Open Chromatin
17	62140410	62140854	DNase1	Open Chromatin
17	62141135	62141602	DNase1	Open Chromatin
17	62151633	62152909	DNase1	Open Chromatin
17	62153718	62154149	DNase1	Open Chromatin
17	62154703	62155175	DNase1	Open Chromatin
17	62159438	62159916	DNase1	Open Chromatin
17	62161294	62161906	DNase1	Open Chromatin
17	62169394	62169942	DNase1	Open Chromatin
17	62181097	62181486	DNase1	Open Chromatin
17	62195945	62196388	DNase1	Open Chromatin
17	62207157	62208511	DNase1	Open Chromatin
17	62210923	62211305	DNase1	Open Chromatin
17	62222890	62224151	DNase1	Open Chromatin
17	62252001	62252854	DNase1	Open Chromatin
17	62257457	62257901	DNase1	Open Chromatin
17	62257992	62258497	DNase1	Open Chromatin
17	62261135	62261708	DNase1	Open Chromatin
17	62262850	62263359	DNase1	Open Chromatin
17	62295434	62295891	DNase1	Open Chromatin
17	62340453	62341002	DNase1	Open Chromatin
17	62364935	62365237	DNase1	Open Chromatin
17	62384287	62384590	DNase1	Open Chromatin
17	62398360	62398811	DNase1	Open Chromatin
17	62403733	62404643	DNase1	Open Chromatin
17	62408761	62409100	DNase1	Open Chromatin
17	62409144	62409830	DNase1	Open Chromatin
17	62471650	62472124	DNase1	Open Chromatin
17	62492705	62493890	DNase1	Open Chromatin
17	62501153	62503836	DNase1	Open Chromatin
17	62658013	62658765	DNase1	Open Chromatin
17	62690285	62690773	DNase1	Open Chromatin
17	62772909	62773651	DNase1	Open Chromatin
17	62773748	62774229	DNase1	Open Chromatin
17	62777513	62777889	DNase1	Open Chromatin
17	62804491	62805270	DNase1	Open Chromatin
17	62833054	62833841	DNase1	Open Chromatin
17	62833895	62834223	DNase1	Open Chromatin
17	62837004	62837571	DNase1	Open Chromatin
17	62842954	62843488	DNase1	Open Chromatin
17	62915159	62916166	DNase1	Open Chromatin
17	62919025	62919580	DNase1	Open Chromatin
17	62957909	62958356	DNase1	Open Chromatin
17	62961786	62962434	DNase1	Open Chromatin
17	62970353	62970942	DNase1	Open Chromatin
17	62970947	62972425	DNase1	Open Chromatin
17	62981255	62983024	DNase1	Open Chromatin
17	62984966	62985585	DNase1	Open Chromatin
17	62987034	62987500	DNase1	Open Chromatin
17	63010004	63010361	DNase1	Open Chromatin
17	63016372	63016830	DNase1	Open Chromatin
17	63023405	63023868	DNase1	Open Chromatin
17	63043965	63044595	DNase1	Open Chromatin
17	63051755	63053365	DNase1	Open Chromatin
17	63056728	63057185	DNase1	Open Chromatin
17	63096071	63097036	DNase1	Open Chromatin
17	63119044	63119789	DNase1	Open Chromatin
17	63150930	63151619	DNase1	Open Chromatin
17	6325242	6325669	DNase1	Open Chromatin
17	6339349	6339672	DNase1	Open Chromatin
17	6346959	6347414	DNase1	Open Chromatin
17	6347436	6347912	DNase1	Open Chromatin
17	64298397	64298891	DNase1	Open Chromatin
17	643355	644021	DNase1	Open Chromatin
17	64427404	64427905	DNase1	Open Chromatin
17	64428002	64428394	DNase1	Open Chromatin
17	64455854	64456426	DNase1	Open Chromatin
17	64462812	64463417	DNase1	Open Chromatin
17	64464833	64465359	DNase1	Open Chromatin
17	64474985	64475669	DNase1	Open Chromatin
17	6478556	6478950	DNase1	Open Chromatin
17	6502690	6503076	DNase1	Open Chromatin
17	65100762	65101100	DNase1	Open Chromatin
17	65101167	65101804	DNase1	Open Chromatin
17	65161171	65161755	DNase1	Open Chromatin
17	65240895	65241799	DNase1	Open Chromatin
17	65253799	65254363	DNase1	Open Chromatin
17	65254918	65255348	DNase1	Open Chromatin
17	65289807	65290203	DNase1	Open Chromatin
17	65308432	65308766	DNase1	Open Chromatin
17	65350282	65350727	DNase1	Open Chromatin
17	65361724	65362975	DNase1	Open Chromatin
17	65370577	65371142	DNase1	Open Chromatin
17	65373136	65374230	DNase1	Open Chromatin
17	65397893	65398421	DNase1	Open Chromatin
17	65407493	65407936	DNase1	Open Chromatin
17	65417916	65418473	DNase1	Open Chromatin
17	65427482	65428154	DNase1	Open Chromatin
17	65430169	65430746	DNase1	Open Chromatin
17	65431112	65431528	DNase1	Open Chromatin
17	65437094	65437725	DNase1	Open Chromatin
17	6543908	6544533	DNase1	Open Chromatin
17	65471454	65471863	DNase1	Open Chromatin
17	65473800	65474222	DNase1	Open Chromatin
17	65477912	65478407	DNase1	Open Chromatin
17	654805	655209	DNase1	Open Chromatin
17	65483132	65483480	DNase1	Open Chromatin
17	65505855	65506500	DNase1	Open Chromatin
17	65516638	65517076	DNase1	Open Chromatin
17	655260	656178	DNase1	Open Chromatin
17	6553965	6555260	DNase1	Open Chromatin
17	65591	66144	DNase1	Open Chromatin
17	6564069	6564446	DNase1	Open Chromatin
17	6569375	6569718	DNase1	Open Chromatin
17	65713640	65714282	DNase1	Open Chromatin
17	65821344	65821826	DNase1	Open Chromatin
17	65823282	65823588	DNase1	Open Chromatin
17	65959438	65959704	DNase1	Open Chromatin
17	65988973	65990133	DNase1	Open Chromatin
17	66015840	66016473	DNase1	Open Chromatin
17	66031319	66032035	DNase1	Open Chromatin
17	66086029	66086487	DNase1	Open Chromatin
17	66097539	66098066	DNase1	Open Chromatin
17	66168459	66168885	DNase1	Open Chromatin
17	66201376	66201890	DNase1	Open Chromatin
17	66228920	66229314	DNase1	Open Chromatin
17	66231082	66231744	DNase1	Open Chromatin
17	66233287	66234556	DNase1	Open Chromatin
17	66243461	66244866	DNase1	Open Chromatin
17	66245045	66245540	DNase1	Open Chromatin
17	66245563	66246023	DNase1	Open Chromatin
17	66255083	66255685	DNase1	Open Chromatin
17	66259168	66259620	DNase1	Open Chromatin
17	66284458	66285450	DNase1	Open Chromatin
17	66285581	66289076	DNase1	Open Chromatin
17	66293300	66293810	DNase1	Open Chromatin
17	66301261	66301693	DNase1	Open Chromatin
17	66306315	66306706	DNase1	Open Chromatin
17	66308301	66309265	DNase1	Open Chromatin
17	66309419	66310111	DNase1	Open Chromatin
17	66310902	66311468	DNase1	Open Chromatin
17	66314229	66315054	DNase1	Open Chromatin
17	66315449	66316008	DNase1	Open Chromatin
17	66340127	66340675	DNase1	Open Chromatin
17	66342477	66343205	DNase1	Open Chromatin
17	66352640	66353063	DNase1	Open Chromatin
17	66374168	66375275	DNase1	Open Chromatin
17	66377105	66377726	DNase1	Open Chromatin
17	66379980	66380543	DNase1	Open Chromatin
17	66395095	66395523	DNase1	Open Chromatin
17	66432475	66432934	DNase1	Open Chromatin
17	66437175	66437568	DNase1	Open Chromatin
17	66451909	66452511	DNase1	Open Chromatin
17	66452828	66454352	DNase1	Open Chromatin
17	66459054	66459488	DNase1	Open Chromatin
17	66462288	66462606	DNase1	Open Chromatin
17	66487420	66488184	DNase1	Open Chromatin
17	66494125	66494611	DNase1	Open Chromatin
17	66505760	66506287	DNase1	Open Chromatin
17	66507991	66509033	DNase1	Open Chromatin
17	6655645	6656221	DNase1	Open Chromatin
17	6659200	6659548	DNase1	Open Chromatin
17	66597888	66598257	DNase1	Open Chromatin
17	66599126	66599557	DNase1	Open Chromatin
17	66755486	66756432	DNase1	Open Chromatin
17	66790021	66790498	DNase1	Open Chromatin
17	66905183	66905769	DNase1	Open Chromatin
17	67043503	67044076	DNase1	Open Chromatin
17	67089419	67089855	DNase1	Open Chromatin
17	67111940	67112551	DNase1	Open Chromatin
17	67171761	67172553	DNase1	Open Chromatin
17	67231589	67231927	DNase1	Open Chromatin
17	67323089	67323720	DNase1	Open Chromatin
17	6734866	6735470	DNase1	Open Chromatin
17	67424352	67425101	DNase1	Open Chromatin
17	67497607	67497997	DNase1	Open Chromatin
17	67498128	67498537	DNase1	Open Chromatin
17	67753751	67754449	DNase1	Open Chromatin
17	68095387	68095882	DNase1	Open Chromatin
17	68096026	68096390	DNase1	Open Chromatin
17	68116122	68116978	DNase1	Open Chromatin
17	68119279	68119679	DNase1	Open Chromatin
17	68165210	68165788	DNase1	Open Chromatin
17	68169092	68169415	DNase1	Open Chromatin
17	68201544	68202192	DNase1	Open Chromatin
17	68284688	68285110	DNase1	Open Chromatin
17	68310593	68311039	DNase1	Open Chromatin
17	68361202	68361731	DNase1	Open Chromatin
17	6839646	6840109	DNase1	Open Chromatin
17	68401564	68402233	DNase1	Open Chromatin
17	68495244	68495617	DNase1	Open Chromatin
17	685075	685989	DNase1	Open Chromatin
17	68523438	68523919	DNase1	Open Chromatin
17	6908027	6908427	DNase1	Open Chromatin
17	6915468	6917228	DNase1	Open Chromatin
17	6917492	6919368	DNase1	Open Chromatin
17	6925203	6925966	DNase1	Open Chromatin
17	6926813	6927436	DNase1	Open Chromatin
17	6938680	6939608	DNase1	Open Chromatin
17	6949136	6949498	DNase1	Open Chromatin
17	6955384	6955785	DNase1	Open Chromatin
17	6997290	6998093	DNase1	Open Chromatin
17	6998928	6999384	DNase1	Open Chromatin
17	7002326	7002807	DNase1	Open Chromatin
17	7015384	7015959	DNase1	Open Chromatin
17	7018131	7018680	DNase1	Open Chromatin
17	7023925	7024432	DNase1	Open Chromatin
17	7024540	7025061	DNase1	Open Chromatin
17	7033947	7035212	DNase1	Open Chromatin
17	7035220	7037225	DNase1	Open Chromatin
17	7039492	7039884	DNase1	Open Chromatin
17	7041910	7042511	DNase1	Open Chromatin
17	7071060	7071570	DNase1	Open Chromatin
17	7077478	7078467	DNase1	Open Chromatin
17	7080723	7081144	DNase1	Open Chromatin
17	70973006	70973545	DNase1	Open Chromatin
17	71035509	71035828	DNase1	Open Chromatin
17	7108023	7108927	DNase1	Open Chromatin
17	71088624	71089169	DNase1	Open Chromatin
17	71092995	71093782	DNase1	Open Chromatin
17	71099643	71100488	DNase1	Open Chromatin
17	71130377	71130774	DNase1	Open Chromatin
17	71131916	71132304	DNase1	Open Chromatin
17	71138875	71139858	DNase1	Open Chromatin
17	71143883	71144619	DNase1	Open Chromatin
17	71148327	71148877	DNase1	Open Chromatin
17	71152322	71152686	DNase1	Open Chromatin
17	7117171	7118657	DNase1	Open Chromatin
17	71188516	71189575	DNase1	Open Chromatin
17	7120856	7121210	DNase1	Open Chromatin
17	71228291	71228878	DNase1	Open Chromatin
17	7122997	7123423	DNase1	Open Chromatin
17	71287312	71287992	DNase1	Open Chromatin
17	71306575	71307947	DNase1	Open Chromatin
17	71307958	71308530	DNase1	Open Chromatin
17	71336173	71336831	DNase1	Open Chromatin
17	71366010	71366336	DNase1	Open Chromatin
17	7137372	7138193	DNase1	Open Chromatin
17	71425566	71425902	DNase1	Open Chromatin
17	7142661	7143384	DNase1	Open Chromatin
17	71427078	71427420	DNase1	Open Chromatin
17	7143640	7144128	DNase1	Open Chromatin
17	7144996	7146633	DNase1	Open Chromatin
17	71543130	71543591	DNase1	Open Chromatin
17	7154702	7156234	DNase1	Open Chromatin
17	71663352	71664018	DNase1	Open Chromatin
17	71722287	71723132	DNase1	Open Chromatin
17	71727788	71728270	DNase1	Open Chromatin
17	71729660	71730066	DNase1	Open Chromatin
17	7183892	7184371	DNase1	Open Chromatin
17	7184643	7185189	DNase1	Open Chromatin
17	71965993	71966548	DNase1	Open Chromatin
17	7199674	7200276	DNase1	Open Chromatin
17	72004346	72004732	DNase1	Open Chromatin
17	72008584	72008927	DNase1	Open Chromatin
17	7209971	7211440	DNase1	Open Chromatin
17	7211888	7212680	DNase1	Open Chromatin
17	7218259	7219003	DNase1	Open Chromatin
17	72189306	72189965	DNase1	Open Chromatin
17	72199560	72200457	DNase1	Open Chromatin
17	72206525	72206890	DNase1	Open Chromatin
17	72208237	72209899	DNase1	Open Chromatin
17	72231070	72231509	DNase1	Open Chromatin
17	72235305	72235830	DNase1	Open Chromatin
17	72276199	72276678	DNase1	Open Chromatin
17	7232519	7233897	DNase1	Open Chromatin
17	72350209	72350527	DNase1	Open Chromatin
17	72364391	72364810	DNase1	Open Chromatin
17	72365400	72365734	DNase1	Open Chromatin
17	72375557	72375913	DNase1	Open Chromatin
17	72413381	72413730	DNase1	Open Chromatin
17	72426669	72427267	DNase1	Open Chromatin
17	72438893	72439740	DNase1	Open Chromatin
17	72442892	72443408	DNase1	Open Chromatin
17	72450148	72450512	DNase1	Open Chromatin
17	72453720	72454014	DNase1	Open Chromatin
17	72458692	72460075	DNase1	Open Chromatin
17	72462310	72462932	DNase1	Open Chromatin
17	72463614	72464222	DNase1	Open Chromatin
17	72474830	72475298	DNase1	Open Chromatin
17	72487798	72488157	DNase1	Open Chromatin
17	72489429	72489812	DNase1	Open Chromatin
17	72508613	72509494	DNase1	Open Chromatin
17	72509934	72511349	DNase1	Open Chromatin
17	72516062	72517510	DNase1	Open Chromatin
17	72517759	72518310	DNase1	Open Chromatin
17	72524399	72525151	DNase1	Open Chromatin
17	72527413	72528060	DNase1	Open Chromatin
17	72528177	72528793	DNase1	Open Chromatin
17	72528930	72529610	DNase1	Open Chromatin
17	72541234	72541809	DNase1	Open Chromatin
17	72541829	72542496	DNase1	Open Chromatin
17	72543855	72544252	DNase1	Open Chromatin
17	7254622	7255644	DNase1	Open Chromatin
17	72563443	72563898	DNase1	Open Chromatin
17	72565424	72566377	DNase1	Open Chromatin
17	7259281	7259726	DNase1	Open Chromatin
17	72595141	72596171	DNase1	Open Chromatin
17	72598008	72598496	DNase1	Open Chromatin
17	72603389	72603737	DNase1	Open Chromatin
17	72608693	72609399	DNase1	Open Chromatin
17	72619660	72620628	DNase1	Open Chromatin
17	72627843	72629219	DNase1	Open Chromatin
17	72633454	72633848	DNase1	Open Chromatin
17	72634768	72635195	DNase1	Open Chromatin
17	72635411	72636568	DNase1	Open Chromatin
17	72637441	72638497	DNase1	Open Chromatin
17	72642368	72642758	DNase1	Open Chromatin
17	72653560	72653999	DNase1	Open Chromatin
17	72667225	72667732	DNase1	Open Chromatin
17	72678633	72679054	DNase1	Open Chromatin
17	72682879	72683294	DNase1	Open Chromatin
17	72684789	72685249	DNase1	Open Chromatin
17	72686444	72687260	DNase1	Open Chromatin
17	72708716	72709776	DNase1	Open Chromatin
17	72726650	72727224	DNase1	Open Chromatin
17	72732447	72733415	DNase1	Open Chromatin
17	72733621	72734049	DNase1	Open Chromatin
17	72740704	72741195	DNase1	Open Chromatin
17	72744399	72745007	DNase1	Open Chromatin
17	72747559	72748217	DNase1	Open Chromatin
17	72766886	72767267	DNase1	Open Chromatin
17	72772241	72772768	DNase1	Open Chromatin
17	72774014	72774634	DNase1	Open Chromatin
17	72775066	72775534	DNase1	Open Chromatin
17	72775656	72776691	DNase1	Open Chromatin
17	72782515	72783284	DNase1	Open Chromatin
17	72787553	72788032	DNase1	Open Chromatin
17	72830258	72830585	DNase1	Open Chromatin
17	72837100	72837503	DNase1	Open Chromatin
17	72858312	72858675	DNase1	Open Chromatin
17	72860932	72861384	DNase1	Open Chromatin
17	72868930	72869958	DNase1	Open Chromatin
17	7287387	7287682	DNase1	Open Chromatin
17	72913528	72913917	DNase1	Open Chromatin
17	72919552	72920052	DNase1	Open Chromatin
17	72920314	72921008	DNase1	Open Chromatin
17	72957664	72958073	DNase1	Open Chromatin
17	7297667	7298625	DNase1	Open Chromatin
17	72977989	72978624	DNase1	Open Chromatin
17	72983386	72983865	DNase1	Open Chromatin
17	73008445	73008988	DNase1	Open Chromatin
17	73028469	73028852	DNase1	Open Chromatin
17	73029749	73030241	DNase1	Open Chromatin
17	73030388	73031477	DNase1	Open Chromatin
17	73032714	73033139	DNase1	Open Chromatin
17	73042297	73043461	DNase1	Open Chromatin
17	7306992	7308318	DNase1	Open Chromatin
17	73073489	73074107	DNase1	Open Chromatin
17	73083605	73084148	DNase1	Open Chromatin
17	73085038	73085437	DNase1	Open Chromatin
17	73092143	73092731	DNase1	Open Chromatin
17	73098395	73098856	DNase1	Open Chromatin
17	73105774	73106239	DNase1	Open Chromatin
17	73110093	73110764	DNase1	Open Chromatin
17	73116297	73116687	DNase1	Open Chromatin
17	73142695	73143042	DNase1	Open Chromatin
17	73150420	73151062	DNase1	Open Chromatin
17	73178528	73179560	DNase1	Open Chromatin
17	73197816	73198211	DNase1	Open Chromatin
17	73201243	73201993	DNase1	Open Chromatin
17	73224351	73224894	DNase1	Open Chromatin
17	73234783	73235181	DNase1	Open Chromatin
17	73240572	73241042	DNase1	Open Chromatin
17	73256842	73258354	DNase1	Open Chromatin
17	73264907	73265589	DNase1	Open Chromatin
17	73266376	73267108	DNase1	Open Chromatin
17	73267173	73267727	DNase1	Open Chromatin
17	73285150	73286578	DNase1	Open Chromatin
17	73288856	73289474	DNase1	Open Chromatin
17	73291159	73292401	DNase1	Open Chromatin
17	73293338	73294102	DNase1	Open Chromatin
17	73297068	73298418	DNase1	Open Chromatin
17	73307929	73308556	DNase1	Open Chromatin
17	73308601	73309068	DNase1	Open Chromatin
17	73309732	73310760	DNase1	Open Chromatin
17	73311980	73312570	DNase1	Open Chromatin
17	73319130	73319561	DNase1	Open Chromatin
17	73340831	73341226	DNase1	Open Chromatin
17	73341573	73341885	DNase1	Open Chromatin
17	73367388	73367891	DNase1	Open Chromatin
17	7338403	7339677	DNase1	Open Chromatin
17	73389669	73390331	DNase1	Open Chromatin
17	73400307	73401039	DNase1	Open Chromatin
17	7340085	7340629	DNase1	Open Chromatin
17	73401577	73402201	DNase1	Open Chromatin
17	73408646	73409073	DNase1	Open Chromatin
17	7341375	7341962	DNase1	Open Chromatin
17	73422436	73422717	DNase1	Open Chromatin
17	73424884	73425323	DNase1	Open Chromatin
17	73452346	73452918	DNase1	Open Chromatin
17	73483325	73484110	DNase1	Open Chromatin
17	7348598	7349007	DNase1	Open Chromatin
17	73511739	73512726	DNase1	Open Chromatin
17	73567205	73567918	DNase1	Open Chromatin
17	73584120	73584756	DNase1	Open Chromatin
17	73585161	73585715	DNase1	Open Chromatin
17	7358688	7359291	DNase1	Open Chromatin
17	7359536	7360007	DNase1	Open Chromatin
17	73629041	73629458	DNase1	Open Chromatin
17	73642073	73642485	DNase1	Open Chromatin
17	73662903	73663658	DNase1	Open Chromatin
17	73671044	73671472	DNase1	Open Chromatin
17	73684046	73685292	DNase1	Open Chromatin
17	7369750	7370627	DNase1	Open Chromatin
17	73734048	73734711	DNase1	Open Chromatin
17	73743884	73744217	DNase1	Open Chromatin
17	73745928	73746353	DNase1	Open Chromatin
17	73760446	73761018	DNase1	Open Chromatin
17	73761030	73761489	DNase1	Open Chromatin
17	73772204	73772818	DNase1	Open Chromatin
17	73775024	73776321	DNase1	Open Chromatin
17	73779009	73779820	DNase1	Open Chromatin
17	73780459	73781552	DNase1	Open Chromatin
17	7379055	7379481	DNase1	Open Chromatin
17	7380849	7381770	DNase1	Open Chromatin
17	73828193	73828649	DNase1	Open Chromatin
17	73840248	73841013	DNase1	Open Chromatin
17	73841164	73841751	DNase1	Open Chromatin
17	73851011	73852095	DNase1	Open Chromatin
17	73854735	73855256	DNase1	Open Chromatin
17	73857388	73857754	DNase1	Open Chromatin
