Chromosome/scaffold name	Start (bp)	End (bp)	Feature type
3	8606242	8606451	TF binding site
1	113554850	113555172	TF binding site
6	374072	374332	TF binding site
11	41682174	41682499	TF binding site
17	58110265	58110548	TF binding site
1	20037351	20038006	TF binding site
20	55333598	55334488	TF binding site
8	143684981	143685310	TF binding site
14	37022901	37023236	TF binding site
3	111756122	111756386	TF binding site
16	27993581	27993910	TF binding site
3	151222418	151222983	TF binding site
GL000205.1	10754	11229	TF binding site
17	27201415	27201964	TF binding site
10	102995992	102997633	TF binding site
21	27231879	27232235	TF binding site
17	51740080	51740354	TF binding site
13	46450035	46450504	TF binding site
17	59523395	59523932	TF binding site
11	68012393	68012692	TF binding site
8	102060772	102061484	TF binding site
10	130538186	130538569	TF binding site
8	63814370	63814784	TF binding site
3	58177152	58177627	TF binding site
X	135610806	135611505	TF binding site
1	190053701	190054112	TF binding site
9	79531168	79531503	TF binding site
6	129942418	129942697	TF binding site
1	58301397	58301665	TF binding site
10	3777333	3777568	TF binding site
10	121770858	121771268	TF binding site
X	37539235	37539459	TF binding site
5	73290813	73291113	TF binding site
1	217747650	217748334	TF binding site
7	156982165	156982458	TF binding site
11	101632033	101632452	TF binding site
18	34798179	34798510	TF binding site
10	17428604	17429267	TF binding site
15	102292895	102293104	TF binding site
4	6548335	6548706	TF binding site
1	60401958	60402570	TF binding site
18	8229813	8230121	TF binding site
20	55824040	55824658	TF binding site
6	30634110	30634464	TF binding site
5	71861128	71861666	TF binding site
5	100477814	100478231	TF binding site
15	51662355	51662557	TF binding site
9	4366702	4367065	TF binding site
6	77669033	77669325	TF binding site
11	60219593	60219781	TF binding site
3	183127942	183128929	TF binding site
3	179018340	179018672	TF binding site
1	154178362	154178654	TF binding site
18	47164576	47165176	TF binding site
16	28522411	28522731	TF binding site
1	107590191	107590434	TF binding site
18	23765322	23765601	TF binding site
8	94667572	94668014	TF binding site
22	25168450	25168885	TF binding site
12	126257580	126257968	TF binding site
1	107881766	107881948	TF binding site
8	48879678	48880260	TF binding site
11	125016171	125016545	TF binding site
21	47689301	47689651	TF binding site
14	35509780	35510040	TF binding site
17	59411237	59412031	TF binding site
11	2753638	2754414	TF binding site
10	48420290	48420632	TF binding site
X	92028972	92029358	TF binding site
11	69208503	69209170	TF binding site
5	56666243	56666505	TF binding site
15	50276643	50277108	TF binding site
5	56407715	56408299	TF binding site
3	72533753	72534206	TF binding site
22	22884417	22884677	TF binding site
1	235894933	235895387	TF binding site
1	97550235	97550443	TF binding site
1	114887373	114887682	TF binding site
7	51046618	51046884	TF binding site
10	27015092	27015319	TF binding site
12	696900	697230	TF binding site
17	58591420	58591807	TF binding site
5	3535903	3536252	TF binding site
11	67646152	67646390	TF binding site
5	149702662	149703010	TF binding site
7	5405560	5406087	TF binding site
GL000195.1	27433	27791	TF binding site
16	53576161	53576533	TF binding site
GL000225.1	53587	53679	TF binding site
X	122678923	122679185	TF binding site
3	95618409	95618704	TF binding site
GL000216.1	161909	165406	TF binding site
21	44485518	44485941	TF binding site
8	97022140	97022439	TF binding site
8	126970038	126970379	TF binding site
2	213538686	213539047	TF binding site
4	686400	686976	TF binding site
13	108558206	108559386	TF binding site
11	85634439	85634942	TF binding site
3	67378048	67378285	TF binding site
16	47292790	47293062	TF binding site
20	45820348	45820553	TF binding site
10	37053854	37054202	TF binding site
5	50640986	50641319	TF binding site
2	169790434	169790674	TF binding site
9	112285673	112285923	TF binding site
1	111585366	111585742	TF binding site
12	58006974	58007184	TF binding site
3	133452135	133452539	TF binding site
5	175170732	175171045	TF binding site
1	12336373	12336708	TF binding site
6	11051001	11051269	TF binding site
5	118373234	118373655	TF binding site
7	81003770	81004478	TF binding site
9	134072778	134074482	TF binding site
12	71696905	71697417	TF binding site
5	112846620	112846860	TF binding site
GL000219.1	50430	51235	TF binding site
X	57130925	57131163	TF binding site
7	148989468	148989880	TF binding site
6	31989835	31990170	TF binding site
15	80210627	80211056	TF binding site
9	31807629	31808279	TF binding site
22	26171481	26171831	TF binding site
14	31372580	31372808	TF binding site
5	54702965	54703137	TF binding site
4	13195351	13195616	TF binding site
5	180750322	180750679	TF binding site
1	114767740	114768252	TF binding site
11	108288327	108288691	TF binding site
1	107115633	107115962	TF binding site
17	57604986	57605326	TF binding site
11	63195608	63195912	TF binding site
22	17215194	17215541	TF binding site
8	144806659	144807168	TF binding site
12	103575332	103575497	TF binding site
8	110237483	110237770	TF binding site
X	154322839	154323052	TF binding site
14	70563633	70563915	TF binding site
20	33858775	33859398	TF binding site
9	139669124	139669478	TF binding site
1	54699547	54699838	TF binding site
1	165874148	165874518	TF binding site
3	62476931	62477250	TF binding site
6	117736000	117736369	TF binding site
11	134263484	134263861	TF binding site
14	106495855	106495924	TF binding site
10	54527747	54528361	TF binding site
6	31643646	31643933	TF binding site
4	123671178	123671591	TF binding site
6	164150231	164151008	TF binding site
22	23405723	23406714	TF binding site
1	236515092	236515897	TF binding site
3	63545510	63545887	TF binding site
GL000195.1	57674	58585	TF binding site
7	138079262	138079732	TF binding site
4	37245017	37245025	TF binding site
12	94652567	94652726	TF binding site
1	44423964	44424458	TF binding site
16	23200307	23200636	TF binding site
9	1837534	1837813	TF binding site
4	4228038	4229005	TF binding site
1	117684820	117685356	TF binding site
9	129464707	129465184	TF binding site
8	99984359	99984982	TF binding site
2	182602843	182603144	TF binding site
16	84441195	84441696	TF binding site
22	51201545	51201849	TF binding site
16	10419486	10420008	TF binding site
5	29397	29667	TF binding site
10	113041323	113041593	TF binding site
1	142870631	142871042	TF binding site
8	115552259	115552421	TF binding site
7	78063663	78063926	TF binding site
6	49754956	49755261	TF binding site
14	27200468	27200768	TF binding site
3	64321315	64321677	TF binding site
6	51406742	51407011	TF binding site
X	140967467	140967732	TF binding site
11	21203526	21203823	TF binding site
17	8177080	8177743	TF binding site
16	64091171	64091431	TF binding site
12	53552100	53552666	TF binding site
14	24408607	24409471	TF binding site
7	40799831	40800566	TF binding site
20	15883229	15883505	TF binding site
17	35060165	35060997	TF binding site
1	30321892	30322361	TF binding site
5	150510393	150510755	TF binding site
11	37157268	37157564	TF binding site
16	71592155	71592521	TF binding site
6	20302248	20303162	TF binding site
10	81889681	81889807	TF binding site
21	18715435	18715709	TF binding site
4	1044475	1044966	TF binding site
4	5981696	5982137	TF binding site
8	40454707	40454813	TF binding site
5	18105592	18105900	TF binding site
16	8774950	8775443	TF binding site
18	892385	892561	TF binding site
7	156917463	156917667	TF binding site
1	107754131	107754480	TF binding site
3	40208532	40208857	TF binding site
20	57484681	57484996	TF binding site
1	193086635	193087136	TF binding site
6	133415042	133415523	TF binding site
14	90367212	90367659	TF binding site
7	27111252	27111598	TF binding site
7	41355476	41355765	TF binding site
1	214868110	214868423	TF binding site
1	4838146	4838603	TF binding site
4	86002385	86002679	TF binding site
8	38967100	38967514	TF binding site
21	15346013	15346622	TF binding site
3	196189716	196189875	TF binding site
21	43940967	43941237	TF binding site
7	19661417	19661724	TF binding site
21	38489513	38489907	TF binding site
3	165730926	165731198	TF binding site
12	47576042	47576325	TF binding site
16	90253409	90253742	TF binding site
17	71646347	71646651	TF binding site
1	161199801	161200056	TF binding site
20	46429341	46429909	TF binding site
16	49192004	49192273	TF binding site
15	30374986	30375316	TF binding site
22	22049126	22049586	TF binding site
3	64164776	64165770	TF binding site
6	153042136	153042493	TF binding site
14	70892139	70892415	TF binding site
5	93703650	93703980	TF binding site
17	60750418	60750684	TF binding site
1	68523731	68524082	TF binding site
2	224654192	224654515	TF binding site
22	23664648	23664984	TF binding site
X	146282115	146282435	TF binding site
2	167213901	167214456	TF binding site
21	33732028	33732372	TF binding site
14	54642720	54643074	TF binding site
GL000217.1	48103	49112	TF binding site
8	126677764	126678503	TF binding site
4	155700576	155700829	TF binding site
20	22705476	22705734	TF binding site
6	164759000	164759367	TF binding site
7	100378917	100379209	TF binding site
4	134994467	134994745	TF binding site
16	2438801	2439236	TF binding site
7	98782507	98782792	TF binding site
7	38332113	38332358	TF binding site
11	57672919	57673352	TF binding site
2	216853216	216853668	TF binding site
5	92952274	92952501	TF binding site
2	71721369	71722167	TF binding site
2	242006347	242007080	TF binding site
1	26386355	26387013	TF binding site
X	140293385	140293659	TF binding site
18	28018979	28019645	TF binding site
17	38948037	38948382	TF binding site
1	30772369	30772620	TF binding site
20	37574379	37574722	TF binding site
Y	17771982	17772274	TF binding site
4	190880997	190881411	TF binding site
3	27661004	27661189	TF binding site
12	81540257	81541108	TF binding site
12	87540056	87540100	TF binding site
12	50744868	50745344	TF binding site
GL000211.1	41567	41953	TF binding site
4	92761521	92761842	TF binding site
9	22010928	22011229	TF binding site
6	31130152	31130491	TF binding site
11	9517745	9518037	TF binding site
1	88429270	88429642	TF binding site
X	105641086	105641332	TF binding site
1	107016606	107016970	TF binding site
7	73317047	73317333	TF binding site
15	96613750	96614259	TF binding site
5	179102856	179103029	TF binding site
6	161832344	161832741	TF binding site
14	36131055	36131532	TF binding site
16	88780491	88781005	TF binding site
1	235761463	235761776	TF binding site
12	102770053	102770289	TF binding site
3	40406565	40407208	TF binding site
22	26655465	26655839	TF binding site
1	232276841	232277085	TF binding site
6	112801813	112802110	TF binding site
12	133185391	133185820	TF binding site
12	74563923	74565755	TF binding site
6	157460433	157460836	TF binding site
2	239971055	239971625	TF binding site
3	121224145	121224542	TF binding site
7	118230218	118230474	TF binding site
22	28711819	28712314	TF binding site
X	48609178	48609515	TF binding site
X	6492853	6493075	TF binding site
1	207870710	207871209	TF binding site
6	31336306	31336612	TF binding site
2	23589562	23589980	TF binding site
6	41375091	41375875	TF binding site
16	15198339	15198499	TF binding site
10	132143862	132144327	TF binding site
2	66028197	66028459	TF binding site
12	127392335	127393211	TF binding site
1	240457914	240458126	TF binding site
18	9891125	9891358	TF binding site
X	124573219	124573497	TF binding site
14	37950068	37950476	TF binding site
9	101073771	101074287	TF binding site
1	165717039	165717387	TF binding site
19	14205577	14206020	TF binding site
15	38659741	38659967	TF binding site
2	226041841	226042186	TF binding site
5	18882278	18882629	TF binding site
17	59857299	59857837	TF binding site
3	130063902	130064990	TF binding site
8	105542555	105542930	TF binding site
12	25988165	25988776	TF binding site
16	56387183	56387428	TF binding site
8	94842194	94842575	TF binding site
8	63051333	63051688	TF binding site
1	177992430	177992764	TF binding site
5	55610411	55610767	TF binding site
7	135487800	135488287	TF binding site
10	134707240	134707726	TF binding site
6	56179530	56179895	TF binding site
17	19454559	19454972	TF binding site
1	223977633	223978256	TF binding site
10	131728206	131728466	TF binding site
5	25285255	25285682	TF binding site
3	148182075	148182400	TF binding site
1	84485949	84486227	TF binding site
2	70613146	70613598	TF binding site
1	11106226	11106559	TF binding site
1	13680956	13681265	TF binding site
19	36083224	36083495	TF binding site
16	33798413	33798743	TF binding site
22	19019983	19020280	TF binding site
8	55545426	55545758	TF binding site
16	70896032	70896302	TF binding site
12	45801342	45801615	TF binding site
1	1512796	1513174	TF binding site
7	55826165	55826406	TF binding site
7	140931278	140931634	TF binding site
20	45841055	45841442	TF binding site
11	88663631	88664221	TF binding site
12	8430349	8430616	TF binding site
14	89013355	89013665	TF binding site
7	26291591	26291982	TF binding site
20	51554307	51554751	TF binding site
13	34567233	34567500	TF binding site
7	145794162	145794525	TF binding site
6	133749226	133749934	TF binding site
17	45598734	45599039	TF binding site
14	76724233	76724928	TF binding site
11	44333714	44333876	TF binding site
12	49152075	49152347	TF binding site
6	21505738	21506194	TF binding site
9	335977	336384	TF binding site
17	59808545	59809187	TF binding site
3	163440170	163440587	TF binding site
1	154654769	154655004	TF binding site
X	151849418	151849852	TF binding site
1	220292240	220292836	TF binding site
12	57061377	57062022	TF binding site
6	5898790	5899094	TF binding site
2	204144034	204144362	TF binding site
14	36992235	36992580	TF binding site
8	111160942	111161285	TF binding site
17	57672952	57673392	TF binding site
3	29208710	29209017	TF binding site
3	170944725	170945038	TF binding site
6	33352283	33352972	TF binding site
9	138875643	138876019	TF binding site
9	71094750	71094851	TF binding site
15	92247464	92248087	TF binding site
17	58502708	58502941	TF binding site
13	25691841	25691994	TF binding site
4	176260479	176260741	TF binding site
6	166926105	166926379	TF binding site
X	51357286	51357471	TF binding site
19	7067083	7067620	TF binding site
3	12583196	12583463	TF binding site
16	33630032	33630362	TF binding site
11	15349220	15349665	TF binding site
1	43786810	43787468	TF binding site
8	63614283	63614672	TF binding site
5	87898477	87898911	TF binding site
9	120009636	120009898	TF binding site
1	75941500	75941841	TF binding site
7	31166655	31166941	TF binding site
2	243158929	243159615	TF binding site
X	44565018	44565721	TF binding site
18	53454072	53454506	TF binding site
12	33340404	33340739	TF binding site
12	131237557	131237858	TF binding site
2	191038575	191038858	TF binding site
5	115084652	115085068	TF binding site
2	16734561	16734869	TF binding site
8	80719913	80720523	TF binding site
4	113129370	113130229	TF binding site
16	16236883	16237278	TF binding site
1	211308713	211309025	TF binding site
10	129538905	129539235	TF binding site
3	10174036	10174294	TF binding site
19	50384929	50385764	TF binding site
12	130530514	130530873	TF binding site
12	90356475	90356769	TF binding site
22	24289530	24289883	TF binding site
7	102759996	102760778	TF binding site
2	240028013	240028393	TF binding site
GL000198.1	70471	71395	TF binding site
10	71338257	71338647	TF binding site
2	168414844	168415175	TF binding site
4	22998918	22999461	TF binding site
14	39609452	39609672	TF binding site
9	139389255	139390119	TF binding site
20	45304057	45304673	TF binding site
13	112236429	112236929	TF binding site
13	35599367	35599933	TF binding site
17	79976356	79976661	TF binding site
2	73390442	73390742	TF binding site
19	36319615	36320218	TF binding site
4	37436173	37436443	TF binding site
4	20761803	20761933	TF binding site
9	115707930	115708312	TF binding site
7	127950503	127950852	TF binding site
1	111013800	111014143	TF binding site
16	16791331	16791505	TF binding site
7	106629933	106630742	TF binding site
13	50099350	50099567	TF binding site
4	146813186	146813447	TF binding site
12	119637797	119638072	TF binding site
2	187168846	187169167	TF binding site
2	186816801	186817200	TF binding site
9	116407530	116407777	TF binding site
16	19318954	19319258	TF binding site
7	96632629	96633473	TF binding site
2	157239609	157240143	TF binding site
11	19354060	19354223	TF binding site
4	1982882	1983462	TF binding site
11	5268861	5269287	TF binding site
11	31824167	31824412	TF binding site
21	46254908	46255499	TF binding site
13	105187243	105187520	TF binding site
1	36994074	36994305	TF binding site
3	184802717	184803020	TF binding site
2	212744089	212744355	TF binding site
11	117327169	117327327	TF binding site
11	77309299	77309619	TF binding site
2	138169083	138169414	TF binding site
11	24177498	24177711	TF binding site
11	64953431	64953739	TF binding site
6	109524976	109525168	TF binding site
20	61737431	61737799	TF binding site
10	110947488	110947842	TF binding site
13	64200058	64200366	TF binding site
X	24908820	24909149	TF binding site
2	71150593	71150864	TF binding site
3	62673657	62673832	TF binding site
6	47383945	47384307	TF binding site
4	119723405	119723689	TF binding site
13	51543856	51544246	TF binding site
X	86838719	86838969	TF binding site
8	91341265	91341459	TF binding site
4	53443577	53443786	TF binding site
21	11055777	11055999	TF binding site
2	35653657	35653932	TF binding site
3	57332067	57332428	TF binding site
11	27648645	27649039	TF binding site
18	26806183	26806531	TF binding site
20	50471336	50471965	TF binding site
7	149028040	149028405	TF binding site
6	150282863	150283242	TF binding site
8	112818863	112819153	TF binding site
15	23470569	23470977	TF binding site
1	145336910	145337417	TF binding site
7	39831415	39831922	TF binding site
2	139473825	139474138	TF binding site
9	133615666	133615966	TF binding site
21	28673099	28673509	TF binding site
4	125767485	125767918	TF binding site
4	41751778	41752533	TF binding site
22	21426055	21426285	TF binding site
14	72666226	72666511	TF binding site
8	77768088	77768448	TF binding site
3	63673525	63673856	TF binding site
13	19412079	19412682	TF binding site
4	8721459	8721749	TF binding site
11	3048908	3049174	TF binding site
1	181875249	181875705	TF binding site
4	88221040	88221336	TF binding site
5	23446267	23447122	TF binding site
X	73678583	73678914	TF binding site
7	143976881	143977489	TF binding site
17	31003474	31003811	TF binding site
X	142065401	142065610	TF binding site
8	117827033	117827356	TF binding site
1	117947523	117947882	TF binding site
17	57547011	57547704	TF binding site
7	2372986	2373649	TF binding site
3	75092225	75092593	TF binding site
5	37562304	37563059	TF binding site
3	190854192	190854469	TF binding site
2	130878890	130879120	TF binding site
8	38193402	38193610	TF binding site
2	42902605	42903460	TF binding site
9	95691351	95691697	TF binding site
1	61574841	61575196	TF binding site
2	173332213	173332491	TF binding site
10	81147650	81148252	TF binding site
5	134509162	134509957	TF binding site
20	55524448	55524752	TF binding site
16	55276690	55276897	TF binding site
10	131676116	131676406	TF binding site
9	91972165	91972638	TF binding site
10	104383910	104384229	TF binding site
6	151068393	151068650	TF binding site
10	52923462	52923770	TF binding site
X	74523690	74523936	TF binding site
18	58160367	58160717	TF binding site
11	73664156	73665083	TF binding site
3	1159750	1160121	TF binding site
8	140841944	140842221	TF binding site
7	146942445	146942831	TF binding site
6	99626115	99626309	TF binding site
15	30179942	30180283	TF binding site
14	106483915	106484319	TF binding site
1	174113557	174113913	TF binding site
3	168143878	168144536	TF binding site
7	150956823	150957290	TF binding site
15	76558164	76558491	TF binding site
GL000227.1	114811	115360	TF binding site
15	91041134	91041581	TF binding site
2	10770202	10770682	TF binding site
8	109092569	109092593	TF binding site
2	138248533	138248813	TF binding site
19	40837099	40837385	TF binding site
11	118129159	118129458	TF binding site
12	133295158	133295850	TF binding site
17	59559424	59560465	TF binding site
6	76603090	76603395	TF binding site
17	27570725	27571155	TF binding site
14	42299937	42300368	TF binding site
20	53444910	53445273	TF binding site
17	43317463	43317727	TF binding site
12	92075531	92075736	TF binding site
6	104679947	104680217	TF binding site
1	16967241	16967769	TF binding site
4	169452373	169452974	TF binding site
GL000219.1	178524	178916	TF binding site
20	46157228	46157412	TF binding site
19	23692856	23693183	TF binding site
3	63450499	63450743	TF binding site
1	205035392	205035993	TF binding site
17	59347803	59348215	TF binding site
1	27611136	27611568	TF binding site
12	120752066	120752324	TF binding site
10	29387830	29388679	TF binding site
17	47673838	47674732	TF binding site
11	67338962	67339318	TF binding site
5	176763169	176763502	TF binding site
20	52340154	52340582	TF binding site
9	122924098	122924426	TF binding site
8	109079594	109080003	TF binding site
8	90103864	90104246	TF binding site
16	3246007	3246315	TF binding site
3	157809411	157809686	TF binding site
7	21543647	21544148	TF binding site
16	83640342	83640656	TF binding site
4	127711876	127712062	TF binding site
8	128794461	128795267	TF binding site
20	34111125	34111560	TF binding site
22	21471057	21471671	TF binding site
13	92008578	92008921	TF binding site
GL000192.1	103729	104236	TF binding site
21	42493639	42494277	TF binding site
4	159331459	159331793	TF binding site
3	31873132	31873486	TF binding site
10	106382361	106382749	TF binding site
10	3359837	3361001	TF binding site
GL000219.1	44177	44481	TF binding site
16	86154458	86154871	TF binding site
4	96614705	96615092	TF binding site
X	85426399	85426715	TF binding site
16	19256867	19257192	TF binding site
15	82360665	82360919	TF binding site
22	21407237	21407691	TF binding site
9	29161018	29161313	TF binding site
13	38639828	38640080	TF binding site
16	78084453	78085527	TF binding site
13	114035316	114035728	TF binding site
12	57670751	57671059	TF binding site
9	133965010	133965243	TF binding site
2	125195457	125195714	TF binding site
16	88284054	88284347	TF binding site
16	74521500	74521966	TF binding site
5	25858128	25858486	TF binding site
22	35607895	35608511	TF binding site
4	119744519	119744968	TF binding site
20	31631272	31631830	TF binding site
1	20002693	20003389	TF binding site
12	107917628	107918371	TF binding site
6	73131140	73131599	TF binding site
9	85782084	85782484	TF binding site
1	165113973	165114455	TF binding site
11	3546768	3547030	TF binding site
17	41287503	41287814	TF binding site
3	25618555	25618968	TF binding site
14	35057399	35057600	TF binding site
18	14958709	14959044	TF binding site
9	135513677	135513961	TF binding site
GL000228.1	112345	114237	TF binding site
5	11733675	11734143	TF binding site
8	142078313	142078715	TF binding site
1	241432480	241432758	TF binding site
2	114347144	114347537	TF binding site
5	152103067	152103379	TF binding site
11	1034273	1034747	TF binding site
3	109043979	109044400	TF binding site
11	122977017	122977374	TF binding site
2	34795554	34795924	TF binding site
X	116877873	116878158	TF binding site
7	8476487	8476965	TF binding site
1	237962908	237963538	TF binding site
6	146362468	146362810	TF binding site
8	130585680	130585938	TF binding site
12	105219224	105219576	TF binding site
10	118538553	118538970	TF binding site
17	59580145	59580346	TF binding site
1	3308107	3308861	TF binding site
11	70357472	70357764	TF binding site
5	23007276	23007718	TF binding site
2	159595945	159596284	TF binding site
4	54961382	54962024	TF binding site
X	133153516	133154042	TF binding site
1	114506154	114506485	TF binding site
12	87007068	87007501	TF binding site
GL000225.1	144462	144757	TF binding site
5	89953652	89954035	TF binding site
16	70138313	70138713	TF binding site
22	41793109	41793900	TF binding site
12	127561772	127562278	TF binding site
14	28611684	28611957	TF binding site
16	68907598	68908346	TF binding site
3	64899642	64899954	TF binding site
22	22328561	22329159	TF binding site
20	46462863	46463498	TF binding site
9	66486678	66487077	TF binding site
3	140675870	140676437	TF binding site
6	146108806	146109111	TF binding site
12	117945327	117945739	TF binding site
1	67981123	67981735	TF binding site
17	21919104	21919388	TF binding site
15	97411319	97411632	TF binding site
9	124327240	124327547	TF binding site
7	77763537	77763930	TF binding site
2	130985823	130986013	TF binding site
7	87768926	87769207	TF binding site
7	1931816	1932377	TF binding site
6	126387105	126387654	TF binding site
9	111945183	111946247	TF binding site
22	39818458	39819323	TF binding site
GL000222.1	81855	82135	TF binding site
7	72783077	72783470	TF binding site
3	4985308	4985591	TF binding site
19	965167	965480	TF binding site
3	157418251	157418529	TF binding site
17	40943900	40944329	TF binding site
6	148292177	148292456	TF binding site
10	61848846	61849262	TF binding site
1	157232150	157232828	TF binding site
20	53153325	53153738	TF binding site
11	118027477	118027534	TF binding site
3	44944103	44944455	TF binding site
12	20799231	20799586	TF binding site
X	74055509	74055798	TF binding site
20	54903988	54904265	TF binding site
9	107368380	107368817	TF binding site
18	6836395	6836719	TF binding site
17	46824749	46825069	TF binding site
5	66060836	66061237	TF binding site
12	111421673	111421942	TF binding site
6	28300701	28301037	TF binding site
3	37477027	37477491	TF binding site
22	17045275	17045470	TF binding site
20	35012391	35012826	TF binding site
17	5308692	5309098	TF binding site
9	66508318	66508542	TF binding site
4	73795601	73795925	TF binding site
8	74359522	74359796	TF binding site
13	44373363	44373775	TF binding site
X	20146721	20147127	TF binding site
12	112704867	112705202	TF binding site
5	80339632	80339840	TF binding site
6	55410644	55410923	TF binding site
21	39411739	39412031	TF binding site
11	20622605	20623088	TF binding site
X	139026543	139026861	TF binding site
2	54078110	54078626	TF binding site
20	55712028	55712277	TF binding site
8	100060705	100061120	TF binding site
14	70426684	70426964	TF binding site
14	70861309	70861771	TF binding site
3	136305413	136305724	TF binding site
11	134806881	134807547	TF binding site
19	15725328	15725703	TF binding site
4	182222959	182223347	TF binding site
10	133756958	133757375	TF binding site
11	77035697	77035874	TF binding site
20	44685813	44686555	TF binding site
7	317231	317603	TF binding site
17	65272206	65272592	TF binding site
7	77484737	77485369	TF binding site
4	109862706	109863830	TF binding site
3	20553340	20553706	TF binding site
9	119760626	119760891	TF binding site
17	58700865	58701241	TF binding site
5	99057153	99057579	TF binding site
6	100774974	100775243	TF binding site
3	195437505	195438121	TF binding site
12	11054043	11054394	TF binding site
14	23829783	23830093	TF binding site
3	176573633	176574270	TF binding site
4	25047301	25047593	TF binding site
8	26822	27094	TF binding site
13	100627522	100627590	TF binding site
2	142399277	142399348	TF binding site
1	26674727	26675126	TF binding site
1	214696732	214697172	TF binding site
16	3226365	3226635	TF binding site
14	72900270	72900635	TF binding site
9	112163657	112164161	TF binding site
9	113054070	113055070	TF binding site
X	130761018	130761240	TF binding site
4	89970974	89971312	TF binding site
16	54194932	54195850	TF binding site
7	33447575	33447875	TF binding site
9	134023237	134023575	TF binding site
5	125879829	125880188	TF binding site
11	38345728	38346049	TF binding site
13	24289928	24290326	TF binding site
17	7304160	7304351	TF binding site
19	35982765	35983066	TF binding site
4	158740944	158741279	TF binding site
17	78338002	78338500	TF binding site
X	151800972	151801346	TF binding site
9	6557609	6558284	TF binding site
19	3972692	3972876	TF binding site
10	57260717	57261040	TF binding site
17	1554349	1554632	TF binding site
7	152281819	152282063	TF binding site
8	59197761	59198503	TF binding site
16	87452319	87452588	TF binding site
8	116705744	116706178	TF binding site
7	65520269	65520550	TF binding site
16	3000820	3001160	TF binding site
14	64133039	64133546	TF binding site
10	54561416	54561789	TF binding site
9	25864413	25864863	TF binding site
11	7949245	7949493	TF binding site
5	69521405	69521800	TF binding site
X	117159194	117159501	TF binding site
3	57372927	57373406	TF binding site
12	58420240	58420598	TF binding site
10	46958161	46958666	TF binding site
15	70268777	70269052	TF binding site
7	133741578	133741881	TF binding site
20	9640932	9641203	TF binding site
7	26092336	26092752	TF binding site
5	69817834	69818277	TF binding site
7	94730732	94731120	TF binding site
7	153108960	153111387	TF binding site
GL000222.1	29972	30260	TF binding site
12	3651991	3652447	TF binding site
4	189294044	189294424	TF binding site
1	45696270	45696560	TF binding site
10	38292539	38292804	TF binding site
22	50954534	50954775	TF binding site
12	42838355	42838846	TF binding site
1	7284807	7285132	TF binding site
1	161506941	161507399	TF binding site
6	150337998	150338453	TF binding site
GL000249.1	30881	31151	TF binding site
1	155359682	155359977	TF binding site
18	55255312	55255935	TF binding site
11	86486416	86487971	TF binding site
15	20192680	20193014	TF binding site
1	174367355	174367811	TF binding site
3	102660605	102660979	TF binding site
20	29462853	29463117	TF binding site
1	229434781	229435389	TF binding site
1	102033214	102033492	TF binding site
13	31627151	31627652	TF binding site
1	182838257	182838820	TF binding site
17	37361476	37361763	TF binding site
21	16112038	16112262	TF binding site
9	15837136	15837384	TF binding site
2	99200421	99201126	TF binding site
16	9369317	9369584	TF binding site
2	11962781	11963343	TF binding site
20	52959621	52960399	TF binding site
19	9142675	9143286	TF binding site
6	66248579	66248870	TF binding site
6	146872816	146873050	TF binding site
10	72498662	72498931	TF binding site
19	13827959	13828618	TF binding site
7	43495876	43496152	TF binding site
1	145741663	145742302	TF binding site
20	46342530	46343146	TF binding site
22	44765230	44765681	TF binding site
16	54008393	54008992	TF binding site
9	68495767	68495966	TF binding site
4	109145738	109146178	TF binding site
5	120861195	120861852	TF binding site
4	10321776	10322176	TF binding site
12	22956695	22956954	TF binding site
17	70475326	70475643	TF binding site
15	73557921	73558332	TF binding site
20	46730871	46731280	TF binding site
16	66126334	66126555	TF binding site
14	19135868	19136177	TF binding site
5	37506271	37506885	TF binding site
10	36250484	36250735	TF binding site
22	33293506	33293730	TF binding site
1	235248895	235249390	TF binding site
21	45812867	45813212	TF binding site
13	22199545	22199876	TF binding site
19	1434668	1435236	TF binding site
11	97216055	97216479	TF binding site
9	133781607	133782937	TF binding site
19	52044633	52045276	TF binding site
16	1680787	1681135	TF binding site
9	7067192	7067604	TF binding site
X	31561659	31562349	TF binding site
20	46744287	46744672	TF binding site
7	114303648	114303911	TF binding site
15	65494227	65494700	TF binding site
13	33724905	33725066	TF binding site
1	156852374	156852780	TF binding site
3	9922225	9922285	TF binding site
1	154248434	154248816	TF binding site
4	84703781	84704061	TF binding site
14	94929364	94930025	TF binding site
5	112389168	112389837	TF binding site
6	92686551	92686912	TF binding site
8	11921238	11921577	TF binding site
20	40476869	40477179	TF binding site
22	31793584	31794049	TF binding site
15	45153951	45154208	TF binding site
X	105658590	105658771	TF binding site
10	81467821	81468210	TF binding site
GL000195.1	87800	88156	TF binding site
17	42316726	42317036	TF binding site
9	129933147	129933305	TF binding site
21	21410039	21410410	TF binding site
3	68995405	68995957	TF binding site
9	93640788	93641317	TF binding site
9	133422887	133423113	TF binding site
6	55637477	55637926	TF binding site
4	187459212	187459845	TF binding site
14	61662784	61663114	TF binding site
9	34767239	34767466	TF binding site
1	38991685	38992436	TF binding site
15	62533372	62533818	TF binding site
7	127218404	127218648	TF binding site
3	187357662	187359058	TF binding site
19	18170813	18171079	TF binding site
6	68593485	68594131	TF binding site
6	137523281	137523548	TF binding site
6	159326336	159326753	TF binding site
